,IBB,IYE,IYR,OIH,SMH,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2006-05-22,23.158695220947266,23.617929458618164,39.1015739440918,36.713836669921875,25.307775497436523,23.22620391845703,40.24480056762695,15.424132347106934,25.675748825073242,16.663694381713867,16.611331939697266,19.207500457763672,23.909290313720703,27.496261596679688
2006-05-23,22.892057418823242,23.514808654785156,38.836341857910156,36.873329162597656,24.84199333190918,23.277748107910156,40.252281188964844,15.348248481750488,25.554811477661133,16.541290283203125,16.604318618774414,18.937746047973633,23.79827117919922,27.29068946838379
2006-05-24,23.1229305267334,23.298240661621094,38.899776458740234,36.40498733520508,25.145219802856445,23.174680709838867,39.75774383544922,15.357725143432617,25.486787796020508,16.704500198364258,16.730533599853516,19.005189895629883,23.869640350341797,27.331811904907227
2006-05-25,23.613933563232422,24.017532348632812,39.637760162353516,37.91636657714844,25.145219802856445,23.57220458984375,41.15144729614258,15.495279312133789,25.660625457763672,16.859548568725586,16.891809463500977,19.182979583740234,24.091684341430664,27.594928741455078
2006-05-26,24.108196258544922,24.15675163269043,40.01251220703125,37.99991226196289,25.293132781982422,23.969745635986328,41.286312103271484,15.623337745666504,25.804237365722656,16.94115447998047,16.891809463500977,19.39141845703125,24.22649383544922,27.68537139892578
2006-05-30,23.529394149780273,23.76487922668457,39.69541931152344,37.3239631652832,24.871580123901367,23.402891159057617,40.63442611694336,15.39093017578125,25.47167205810547,16.60658073425293,16.68145179748535,19.195241928100586,23.909290313720703,27.266029357910156
2006-05-31,23.802539825439453,24.280498504638672,39.637760162353516,38.529029846191406,25.16739845275879,23.667909622192383,41.62349319458008,15.500017166137695,25.65306854248047,16.67186164855957,16.744558334350586,19.5140323638916,24.059959411621094,27.562042236328125
2006-06-01,24.277286529541016,24.404247283935547,40.467987060546875,38.62015914916992,25.60373306274414,23.925573348999023,41.73591232299805,15.680246353149414,25.917621612548828,16.957473754882812,16.835718154907227,19.71021270751953,24.400959014892578,27.989608764648438
2006-06-02,24.446372985839844,24.721357345581055,40.90614700317383,39.32901382446289,25.588953018188477,24.153783798217773,42.357818603515625,15.770366668701172,25.95540428161621,16.900348663330078,16.8006534576416,19.94931983947754,24.49612045288086,27.93204689025879
2006-06-05,23.78627586364746,23.963388442993164,40.96381378173828,37.983978271484375,24.871580123901367,23.432342529296875,41.024078369140625,15.514249801635742,25.396089553833008,16.647380828857422,16.562244415283203,19.71021270751953,24.11546516418457,27.48804473876953
2006-06-06,23.6529541015625,23.95566177368164,40.554466247558594,37.819339752197266,24.87895965576172,23.23356819152832,40.9865837097168,15.476301193237305,25.297822952270508,16.647380828857422,16.611331939697266,19.74700355529785,24.15512466430664,27.348247528076172
2006-06-07,23.581422805786133,23.112621307373047,40.715904235839844,35.95575714111328,24.339094161987305,22.703527450561523,39.413063049316406,15.528475761413574,25.018173217773438,16.418882369995117,16.604318618774414,19.673433303833008,24.266141891479492,27.356470108032227
2006-06-08,23.68222427368164,23.334339141845703,40.531410217285156,36.373573303222656,24.220754623413086,22.629913330078125,39.96754837036133,15.556939125061035,25.03328514099121,16.3372802734375,16.660415649414062,19.740873336791992,24.305795669555664,27.315364837646484
2006-06-09,23.542400360107422,23.099729537963867,40.90614700317383,36.03171157836914,24.08761978149414,22.512128829956055,39.562931060791016,15.50475788116455,24.8216495513916,16.27199935913086,16.6744384765625,19.906404495239258,24.131328582763672,27.249574661254883
2006-06-12,23.087158203125,22.63567352294922,40.30654525756836,34.45421600341797,23.584718704223633,22.15875816345215,38.753692626953125,15.33401870727539,24.511756896972656,15.970064163208008,16.576271057128906,19.94931983947754,23.88549041748047,26.88779067993164
2006-06-13,22.774993896484375,21.978256225585938,39.78189468383789,33.45565414428711,23.540355682373047,21.7833194732666,37.60725784301758,15.035200119018555,24.43617057800293,15.986381530761719,16.52018165588379,19.71021270751953,23.822059631347656,26.673999786376953
2006-06-14,22.944080352783203,22.529964447021484,39.71847152709961,34.35978317260742,23.85837745666504,22.070417404174805,38.57386016845703,14.945086479187012,24.647811889648438,16.09246063232422,16.590293884277344,19.563077926635742,23.861713409423828,26.797332763671875
2006-06-15,23.548904418945312,23.42198944091797,40.41032028198242,36.26681137084961,24.629047393798828,22.806589126586914,40.042484283447266,15.277095794677734,25.207128524780273,16.500492095947266,16.723526000976562,19.863489151000977,24.15512466430664,27.381141662597656
2006-06-16,23.249740600585938,23.280202865600586,40.519874572753906,35.96287536621094,24.40716552734375,22.670963287353516,39.93492889404297,15.180253982543945,25.203340530395508,16.47601318359375,16.7425594329834,19.850502014160156,24.12407684326172,27.31604766845703
