,DBA,DBB,DBC,DBE,DBO,DGL,GLD,GSG,IAU,SLV,UNG,USO
2010-09-01,26.021528244018555,20.2432918548584,22.349702835083008,22.425106048583984,23.936601638793945,43.512840270996094,121.69000244140625,28.280000686645508,12.1899995803833,18.959999084472656,200.63999938964844,32.95000076293945
2010-09-02,26.219411849975586,20.469751358032227,22.507652282714844,22.621816635131836,24.04486846923828,43.71952819824219,122.29000091552734,28.579999923706055,12.239999771118164,19.280000686645508,203.52000427246094,33.38999938964844
2010-09-03,26.67453956604004,20.578054428100586,22.626113891601562,22.533296585083008,23.966129302978516,43.56205368041992,121.86000061035156,28.709999084472656,12.1899995803833,19.420000076293945,209.27999877929688,33.09000015258789
2010-09-07,26.595388412475586,20.518980026245117,22.74457550048828,22.69066619873047,24.054710388183594,43.86716842651367,122.69999694824219,28.75,12.289999961853027,19.360000610351562,206.72000122070312,32.77000045776367
2010-09-08,26.55581283569336,20.75528335571289,22.793933868408203,22.769350051879883,24.222030639648438,43.8868522644043,122.70999908447266,28.780000686645508,12.289999961853027,19.5,204.16000366210938,33.13999938964844
2010-09-09,26.753694534301758,20.144832611083984,22.665599822998047,22.651325225830078,23.946443557739258,43.453792572021484,121.55999755859375,28.68000030517578,12.170000076293945,19.31999969482422,202.8800048828125,32.88999938964844
2010-09-10,26.654752731323242,20.026681900024414,22.902524948120117,22.897214889526367,24.143291473388672,43.50300216674805,121.7300033569336,29.059999465942383,12.180000305175781,19.420000076293945,207.67999267578125,33.77000045776367
2010-09-13,26.921894073486328,20.420520782470703,23.070344924926758,23.133268356323242,24.409034729003906,43.4636344909668,121.62000274658203,29.399999618530273,12.180000305175781,19.540000915527344,210.55999755859375,34.029998779296875
2010-09-14,27.25829315185547,20.400827407836914,23.139446258544922,23.054582595825195,24.3499813079834,44.32975769042969,124.0199966430664,29.3700008392334,12.40999984741211,20.049999237060547,211.1999969482422,33.88999938964844
2010-09-15,27.099987030029297,20.390981674194336,23.099958419799805,23.005403518676758,24.300769805908203,44.28054428100586,123.94000244140625,29.229999542236328,12.399999618530273,20.170000076293945,213.75999450683594,33.4900016784668
2010-09-16,27.208824157714844,20.479595184326172,22.98149871826172,22.739845275878906,24.01534080505371,44.53644561767578,124.62999725341797,29.06999969482422,12.479999542236328,20.350000381469727,216.0,32.97999954223633
2010-09-17,27.4660701751709,20.656822204589844,23.06047248840332,22.661161422729492,23.995655059814453,44.51675796508789,124.54000091552734,29.030000686645508,12.470000267028809,20.290000915527344,213.75999450683594,32.650001525878906
2010-09-20,27.2681884765625,20.784820556640625,23.248035430908203,22.966062545776367,24.300769805908203,44.59550094604492,124.87000274658203,29.190000534057617,12.510000228881836,20.290000915527344,205.1199951171875,33.220001220703125
