,EWA,EWC,EWG,EWH,EWI,EWJ,EWL,EWM,EWP,EWS,EWT,EWU,EWW,EWY,EWZ,EZA
2010-05-05,14.214138984680176,22.231685638427734,16.093250274658203,11.340689659118652,22.958280563354492,34.77738952636719,16.49089813232422,24.49578094482422,23.030324935913086,15.978827476501465,19.158525466918945,20.65842628479004,42.4341926574707,42.65331268310547,51.42570877075195,42.225791931152344
2010-05-06,13.264409065246582,21.617324829101562,15.50731372833252,10.967887878417969,21.087491989135742,34.57058334350586,16.21112060546875,23.93096923828125,21.451400756835938,15.447134971618652,18.414350509643555,19.68578338623047,40.974727630615234,40.95348358154297,49.22940444946289,40.49553298950195
2010-05-07,13.283529281616211,21.59275245666504,15.394942283630371,11.057358741760254,21.326955795288086,34.260379791259766,16.027267456054688,24.077402114868164,21.619647979736328,15.601042747497559,18.746854782104492,19.576187133789062,41.14345169067383,41.08491516113281,48.900333404541016,40.67608642578125
2010-05-10,14.297001838684082,22.53476905822754,16.205625534057617,11.445075035095215,23.826324462890625,35.22545623779297,16.76268196105957,25.081497192382812,24.764556884765625,16.440563201904297,19.554365158081055,20.631025314331055,43.5308952331543,43.713504791259766,52.93326950073242,43.15863037109375
2010-05-11,13.971927642822266,22.66583251953125,16.165489196777344,11.325777053833008,23.467132568359375,34.43272018432617,16.826629638671875,25.039663314819336,23.832733154296875,16.244674682617188,19.126859664916992,20.46663475036621,43.269378662109375,42.90740966796875,51.61701965332031,43.28652572631836
2010-05-12,14.073914527893066,23.067216873168945,16.550764083862305,11.370514869689941,23.541963577270508,34.742919921875,17.114404678344727,25.269771575927734,24.059215545654297,16.53850746154785,19.253524780273438,20.644725799560547,44.02863311767578,43.00379180908203,52.20628356933594,44.6406364440918
2010-05-13,13.991050720214844,22.821474075317383,16.4143123626709,11.31832218170166,22.94331169128418,34.46718215942383,16.80264663696289,25.227933883666992,23.243873596191406,16.272659301757812,19.269357681274414,20.370746612548828,43.77554702758789,43.2403564453125,51.739463806152344,43.549808502197266
2010-05-14,13.519370079040527,22.411895751953125,15.900611877441406,11.139375686645508,21.805877685546875,34.22592544555664,16.466917037963867,24.809558868408203,21.897897720336914,15.978827476501465,19.126859664916992,19.713176727294922,42.56916427612305,42.662071228027344,50.33903121948242,42.647071838378906
2010-05-17,13.385515213012695,22.1497745513916,15.988903999328613,11.109553337097168,21.85077667236328,34.156982421875,16.474910736083984,24.809558868408203,21.87848663330078,16.06277847290039,19.063518524169922,19.85017204284668,42.26546859741211,42.101295471191406,49.811004638671875,42.73735046386719
2010-05-18,13.02856731414795,21.961366653442383,15.74810791015625,10.997711181640625,21.326955795288086,33.57103729248047,15.979305267333984,24.47486114501953,21.600234985351562,15.936851501464844,18.69935417175293,19.370702743530273,41.31217956542969,40.95348358154297,48.27281951904297,41.86469650268555
2010-05-19,12.576009750366211,21.69923973083496,15.7802152633667,10.997711181640625,21.760974884033203,33.81230545043945,16.03525733947754,24.077402114868164,22.19556427001953,15.671002388000488,18.477684020996094,19.370702743530273,40.730072021484375,40.54167938232422,47.11728286743164,41.5336799621582
